longitude,latitude,code,name,type,phone,dates_open,comments,num_sites,elevation,amenities,state,nearest_town_distance,nearest_town_bearing,city
-92.875,42.953,ACKL,Ackley Creek County Park,CP,641.756.3490,,,40,,E DP DW SH L$,IA,1,SW,Marble Rock
-93.724,41.738,ACOR,Acorn Valley - Saylorville Lake,COE,515.276.0429,early jun-late aug,,70,,E DP DW SH RS PA,IA,11.2,NW,Des Moines
-94.643,41.498,ADAI,Adair City Park,CP,641.742.3751,,,12,,E SH,IA,0.2,S,Adair
-92.21,43.12,ADOL,Adolph Munson Park,CP,,,,,,NH PT,IA,6.8,NE,New Hampton
-92.348,43.09,AIRP,Airport Lake Park,CP,,,primitive - tent,50,,E PT,IA,2.6,NW,New Hampton
-96.556,42.832,AKRO,Akron City Park,CP,,,,,,E DW SH L$,IA,0.3,NE,Akron
-94.926,41.711,ALBE,Albert the Bull CG,CP,712.563.3856,,,40,,E DP DW SH,IA,0.6,SE,Audubon
-92.313,42.88,ALCO,Alcock Park,CP,319.882.4742,early may-late oct,,40,,E DP DW SH L$,IA,0.2,W,Frederika
-96.005,42.998,ALTO,Alton Roadside Park,CP,,,,,,E DP DW SH L$,IA,0.8,N,Alton
-94.247,43.052,AMBR,Ambrose Call State Park,SP,515.295.3669,early may-late sep,,15,,NH RS,IA,1.4,SW,Algona
-93.609,42.026,AMES,Ames Bandshell City Park,CP,,,,,,NH ND NS N$,IA,0.8,E,Ames
-95.131,43.366,ARNO,Arnolds Park City Park,CP,712.332.2341,,,,,,IA,0.6,SW,Arnolds Park
-95.59,41.432,ARRO,Arrowhead Park,CP,712.485.2295,,,60,,E DP DW SH L$,IA,1.8,SE,Neola
-93.289,41.814,ASHT,Ashton Wildwood Park,CP,,,dense woods-observatory,,,NH ND,IA,7.1,W,Baxter
-91.968,40.768,AUST,Austin County Park,CP,,,primitive,,,NH NW,IA,2.6,N,Keosauqua
-91.56,42.616,BACK,Backbone State Park,SP,563.924.2527,all year,,125,,WES DP SH RS,IA,2.6,N,Dundee
-91.411,42.447,BAIL,Baileys Ford,CP,563.927.3410,,,50,,E DP DW SH L$,IA,3.6,SE,Manchester.
-90.953,42.56,BANK,Bankston Park,CP,563.556.6745,,,50,,NH ND NS,IA,3.6,SE,Holy Cross
-92.787,42.583,BEAV,Beaver Meadows Co Park,CP,319.278.4237,,,20,,E DP FT DW SH,IA,0.4,N,Parkersburg
